year,doi,wiley_pdf_url,wiley_article_url,title
2018,10.1002/humu.2018.39.issue-2,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-2,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-2,
2018,10.1002/humu.2018.39.issue-3,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-3,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-3,
2018,10.1002/humu.23414,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.23414,https://onlinelibrary.wiley.com/doi/10.1002/humu.23414,"Cover Image, Volume 39, Issue 4"
2018,10.1002/humu.2018.39.issue-4,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-4,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-4,
2018,10.1002/humu.23427,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.23427,https://onlinelibrary.wiley.com/doi/10.1002/humu.23427,Inferring the effect of genomic variation in the new era of genomics
2018,10.1002/humu.2018.39.issue-5,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-5,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-5,
2018,10.1002/humu.23432,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.23432,https://onlinelibrary.wiley.com/doi/10.1002/humu.23432,"Cover Image, Volume 39, Issue 5"
2018,10.1002/humu.2018.39.issue-6,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-6,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-6,
2018,10.1002/humu.2018.39.issue-7,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-7,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-7,
2018,10.1002/humu.2018.39.issue-8,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-8,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-8,
2018,10.1002/humu.23597,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.23597,https://onlinelibrary.wiley.com/doi/10.1002/humu.23597,Detection of novel germline mutations in six breast cancer predisposition genes by targeted next-generation sequencing
2018,10.1002/humu.2018.39.issue-9,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-9,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-9,
2018,10.1002/humu.23626,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.23626,https://onlinelibrary.wiley.com/doi/10.1002/humu.23626,Recommendations for interpreting the loss of function PVS1 ACMG/AMP variant criterion
2018,10.1002/humu.2018.39.issue-10,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-10,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-10,
2018,10.1002/humu.23664,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.23664,https://onlinelibrary.wiley.com/doi/10.1002/humu.23664,<i>In vitro</i>functional characterization of the novel<i>DHH</i>mutations p.(Asn337Lysfs*24) and p.(Glu212Lys) associat
2018,10.1002/humu.2018.39.issue-11,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-11,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-11,
2018,10.1002/humu.23681,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.23681,https://onlinelibrary.wiley.com/doi/10.1002/humu.23681,Construction of cloning-friendly minigenes for mammalian expression of full-length human NF1 isoforms
2018,10.1002/humu.2018.39.issue-12,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2018.39.issue-12,https://onlinelibrary.wiley.com/doi/10.1002/humu.2018.39.issue-12,
2018,10.1002/humu.2019.40.issue-1,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2019.40.issue-1,https://onlinelibrary.wiley.com/doi/10.1002/humu.2019.40.issue-1,
2019,10.1002/humu.2019.40.issue-2,https://onlinelibrary.wiley.com/doi/pdf/10.1002/humu.2019.40.issue-2,https://onlinelibrary.wiley.com/doi/10.1002/humu.2019.40.issue-2,
