year,doi,siam_url,corresponding_author,orcid,institution,title
2018,10.1137/17m1137747,https://epubs.siam.org/doi/10.1137/17m1137747,Zhong‐Zhi Bai,,,On Greedy Randomized Kaczmarz Method for Solving Large Sparse Linear Systems
2018,10.1137/18m1166961,https://epubs.siam.org/doi/10.1137/18m1166961,Qing Cheng,0000-0001-5645-5256,,Multiple Scalar Auxiliary Variable (MSAV) Approach and its Application to the Phase-Field Vesicle Membrane Model
2018,10.1137/16m1100885,https://epubs.siam.org/doi/10.1137/16m1100885,Yali Gao,0000-0001-8308-2475,,"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn--Hilliard--Navier--Stokes--Darcy Phase Field Mod"
2018,10.1137/17m1111759,https://epubs.siam.org/doi/10.1137/17m1111759,Yuezheng Gong,0000-0002-5381-7183,Nanjing University of Aeronautics and Astronautics,Fully Discrete Second-Order Linear Schemes for Hydrodynamic Phase Field Models of Binary Viscous Fluid Flows with Variab
2018,10.1137/17m1126126,https://epubs.siam.org/doi/10.1137/17m1126126,Pengliang Yang,0000-0002-9068-9344,,A Time-Domain Preconditioned Truncated Newton Approach to Visco-acoustic Multiparameter Full Waveform Inversion
2018,10.1137/18m1184497,https://epubs.siam.org/doi/10.1137/18m1184497,Leslie Greengard,0000-0003-2895-8715,,The Anisotropic Truncated Kernel Method for Convolution with Free-Space Green's Functions
2018,10.1137/17m1112790,https://epubs.siam.org/doi/10.1137/17m1112790,Jun Zhu,0000-0001-7440-0195,,New Finite Volume Weighted Essentially Nonoscillatory Schemes on Triangular Meshes
2018,10.1137/17m1145677,https://epubs.siam.org/doi/10.1137/17m1145677,Jiangguo Liu,0000-0002-2188-5157,,Lowest-Order Weak Galerkin Finite Element Method for Darcy Flow on Convex Polygonal Meshes
2018,10.1137/17m115164x,https://epubs.siam.org/doi/10.1137/17m115164x,Marco Donatelli,0000-0001-7958-9126,,Spectral Analysis and Multigrid Methods for Finite Volume Approximations of Space-Fractional Diffusion Equations
2018,10.1137/16m1060625,https://epubs.siam.org/doi/10.1137/16m1060625,Kainan Wang,0000-0003-2975-938X,,A Randomized Maximum A Posteriori Method for Posterior Sampling of High Dimensional Nonlinear Bayesian Inverse Problems
2018,10.1137/17m1144350,https://epubs.siam.org/doi/10.1137/17m1144350,Thomas A. Manteuffel,0000-0002-8897-4146,,Nonsymmetric Algebraic Multigrid Based on Local Approximate Ideal Restriction ($\ell$AIR)
2018,10.1137/17m1128745,https://epubs.siam.org/doi/10.1137/17m1128745,Shawn W. Walker,0000-0002-8027-5789,,FELICITY: A Matlab/C++ Toolbox for Developing Finite Element Methods and Simulation Modeling
2018,10.1137/17m1143459,https://epubs.siam.org/doi/10.1137/17m1143459,Elsa Cazelles,,,Geodesic PCA versus Log-PCA of Histograms in the Wasserstein Space
2018,10.1137/17m1135451,https://epubs.siam.org/doi/10.1137/17m1135451,Yuezheng Gong,0000-0002-5381-7183,Utah State University,Second Order Fully Discrete Energy Stable Methods on Staggered Grids for Hydrodynamic Phase Field Models of Binary Visco
2018,10.1137/16m1102896,https://epubs.siam.org/doi/10.1137/16m1102896,Qiang Du,0000-0002-1067-8937,,Numerical Solution of a Two-Dimensional Nonlocal Wave Equation on Unbounded Domains
2018,10.1137/17m1141102,https://epubs.siam.org/doi/10.1137/17m1141102,Shu‐Lin Wu,0000-0002-4301-3018,,Toward Parallel Coarse Grid Correction for the Parareal Algorithm
2018,10.1137/15m1020447,https://epubs.siam.org/doi/10.1137/15m1020447,Jonathan Feinberg,,,Multivariate Polynomial Chaos Expansions with Dependent Variables
2018,10.1137/17m112436x,https://epubs.siam.org/doi/10.1137/17m112436x,Tong Qin,0000-0003-0659-3292,,Implicit Positivity-Preserving High-Order Discontinuous Galerkin Methods for Conservation Laws
2018,10.1137/17m114371x,https://epubs.siam.org/doi/10.1137/17m114371x,Ali Abdi,0000-0002-0819-5557,,The Barycentric Rational Difference-Quadrature Scheme for Systems of Volterra Integro-differential Equations
2018,10.1137/17m1159385,https://epubs.siam.org/doi/10.1137/17m1159385,Lina Zhao,0000-0002-9606-8231,,A Staggered Discontinuous Galerkin Method of Minimal Dimension on Quadrilateral and Polygonal Meshes
2018,10.1137/16m1101143,https://epubs.siam.org/doi/10.1137/16m1101143,Juan Manzanero,0000-0003-3252-7061,,Dispersion-Dissipation Analysis for Advection Problems with Nonconstant Coefficients: Applications to Discontinuous Gale
2018,10.1137/18m1167681,https://epubs.siam.org/doi/10.1137/18m1167681,Zhaojun Bai,0000-0002-1143-2429,,Robust Rayleigh Quotient Minimization and Nonlinear Eigenvalue Problems
2018,10.1137/18m1172739,https://epubs.siam.org/doi/10.1137/18m1172739,Xu Guo,0000-0001-8349-1674,,A High Order Finite Difference Method for Tempered Fractional Diffusion Equations with Applications to the CGMY Model
2018,10.1137/17m1143514,https://epubs.siam.org/doi/10.1137/17m1143514,Wansheng Wang,0000-0002-2128-7501,,A Posteriori Error Analysis for Crank--Nicolson--Galerkin Type Methods for Reaction-Diffusion Equations with Delay
2018,10.1137/17m1128502,https://epubs.siam.org/doi/10.1137/17m1128502,Lulu Liu,0000-0002-0357-1322,Nanjing University of Science and Technology,A Note on Adaptive Nonlinear Preconditioning Techniques
2018,10.1137/16m1094373,https://epubs.siam.org/doi/10.1137/16m1094373,Herbert Egger,0000-0003-3769-8791,,A Robust Conservative Mixed Finite Element Method for Isentropic Compressible Flow on Pipe Networks
2018,10.1137/16m1098000,https://epubs.siam.org/doi/10.1137/16m1098000,Zhiqiang Sheng,,,Construction of Nonlinear Weighted Method for Finite Volume Schemes Preserving Maximum Principle
2018,10.1137/17m1138157,https://epubs.siam.org/doi/10.1137/17m1138157,Qichen Hong,,Chinese Academy of Sciences,A Multilevel Correction Type of Adaptive Finite Element Method for Eigenvalue Problems
2018,10.1137/16m1099704,https://epubs.siam.org/doi/10.1137/16m1099704,Tiantian Liu,0000-0002-9664-8391,,Efficient and Qualified Mesh Generation for Gaussian Molecular Surface Using Adaptive Partition and Piecewise Polynomial
2018,10.1137/17m1162111,https://epubs.siam.org/doi/10.1137/17m1162111,Buyang Li,0000-0001-7566-3464,Hong Kong Polytechnic University,Stability and Error Analysis for a Second-Order Fast Approximation of the One-dimensional Schrödinger Equation Under Abs
2018,10.1137/16m1090831,https://epubs.siam.org/doi/10.1137/16m1090831,Yat Tin Chow,0000-0002-7703-5901,,A Time-Dependent Direct Sampling Method for Recovering Moving Potentials in a Heat Equation
2018,10.1137/17m1146567,https://epubs.siam.org/doi/10.1137/17m1146567,Hangrui Yue,0000-0002-3939-2596,Nankai University,Implementing the Alternating Direction Method of Multipliers for Big Datasets: A Case Study of Least Absolute Shrinkage 
2018,10.1137/17m113808x,https://epubs.siam.org/doi/10.1137/17m113808x,Shishun Li,0000-0003-2163-9949,,Multilevel Space-Time Additive Schwarz Methods for Parabolic Equations
2018,10.1137/18m1166365,https://epubs.siam.org/doi/10.1137/18m1166365,B. S. Wang,,,Hybrid Compact-WENO Finite Difference Scheme with Radial Basis Function Based Shock Detection Method for Hyperbolic Cons
2018,10.1137/17m1150943,https://epubs.siam.org/doi/10.1137/17m1150943,Roland Griesmaier,0000-0002-1621-6127,,Inverse Source Problems for Maxwell's Equations and the Windowed Fourier Transform
2018,10.1137/17m1139631,https://epubs.siam.org/doi/10.1137/17m1139631,Alejandro Allendes,0000-0002-3305-6823,Federico Santa María Technical University,A Posteriori Error Estimation for a PDE-Constrained Optimization Problem Involving the Generalized Oseen Equations
2018,10.1137/17m1143733,https://epubs.siam.org/doi/10.1137/17m1143733,Lars Ruthotto,0000-0003-0803-3299,,Optimal Experimental Design for Inverse Problems with State Constraints
2018,10.1137/17m1137632,https://epubs.siam.org/doi/10.1137/17m1137632,Boris Krämer,0000-0002-3626-7925,,System Identification via CUR-Factored Hankel Approximation
2018,10.1137/16m1103361,https://epubs.siam.org/doi/10.1137/16m1103361,Erin Carson,0000-0001-9469-7467,,The Numerical Stability Analysis of Pipelined Conjugate Gradient Methods: Historical Context and Methodology
2018,10.1137/17m1113333,https://epubs.siam.org/doi/10.1137/17m1113333,Weizhu Bao,0000-0003-3418-9625,,A Uniformly and Optimally Accurate Method for the Zakharov System in the Subsonic Limit Regime
2018,10.1137/17m1146956,https://epubs.siam.org/doi/10.1137/17m1146956,Arthur Bousquet,,,Newton Solvers for Drift-Diffusion and Electrokinetic Equations
2018,10.1137/16m1103117,https://epubs.siam.org/doi/10.1137/16m1103117,Hannah Morgan,0000-0001-8830-6861,,Towards a Unified Finite Element Method for the Stokes Equations
2018,10.1137/17m1156162,https://epubs.siam.org/doi/10.1137/17m1156162,Jean‐Luc Guermond,0000-0002-6974-6818,,Well-Balanced Second-Order Finite Element Approximation of the Shallow Water Equations with Friction
2018,10.1137/16m1099972,https://epubs.siam.org/doi/10.1137/16m1099972,Stephan Schmidt,0000-0002-4888-0794,,Weak and Strong Form Shape Hessians and Their Automatic Generation
2018,10.1137/17m1121378,https://epubs.siam.org/doi/10.1137/17m1121378,Felix Gremse,0000-0002-6522-9004,,Memory-Efficient Sparse Matrix-Matrix Multiplication by Row Merging on Many-Core Architectures
2018,10.1137/17m113767x,https://epubs.siam.org/doi/10.1137/17m113767x,Yingwei Wang,0000-0001-9257-6389,University of Wisconsin–Madison,Two-Level Spectral Methods for Nonlinear Elliptic Equations with Multiple Solutions
2018,10.1137/18m1172533,https://epubs.siam.org/doi/10.1137/18m1172533,Meng Zhao,0000-0002-0130-7333,Illinois Institute of Technology,Computation of a Shrinking Interface in a Hele-Shaw Cell
2018,10.1137/17m1163050,https://epubs.siam.org/doi/10.1137/17m1163050,S. González‐Pinto,0000-0001-8714-862X,,AMF-type W-methods for Parabolic Problems with Mixed Derivatives
2018,10.1137/17m1149328,https://epubs.siam.org/doi/10.1137/17m1149328,Qinghai Zhang,0000-0002-3655-4190,,Fourth- and Higher-order Interface Tracking Via Mapping and Adjusting Regular Semianalytic sets Represented by Cubic Spl
2018,10.1137/17m1137061,https://epubs.siam.org/doi/10.1137/17m1137061,Jessica Cervi,,,High-Order Operator Splitting for the Bidomain and Monodomain Models
2018,10.1137/16m110900x,https://epubs.siam.org/doi/10.1137/16m110900x,Duan Chen,0000-0002-1996-370X,,Accurate and Efficient Nyström Volume Integral Equation Method for Electromagnetic Scattering of 3-D Metamaterials in La
2018,10.1137/17m1145914,https://epubs.siam.org/doi/10.1137/17m1145914,Lei‐Hong Zhang,0000-0001-5349-8621,,A Nested Lanczos Method for the Trust-Region Subproblem
2018,10.1137/17m1143320,https://epubs.siam.org/doi/10.1137/17m1143320,Geoffrey Dillon,,,A Hierarchical Low Rank Schur Complement Preconditioner for Indefinite Linear Systems
2018,10.1137/18m1188069,https://epubs.siam.org/doi/10.1137/18m1188069,Yongfeng Li,0000-0002-9725-0692,,A SemiSmooth Newton Method for Semidefinite Programs and its Applications in Electronic Structure Calculations
2018,10.1137/17m1113473,https://epubs.siam.org/doi/10.1137/17m1113473,Ivi C. Tsantili,,,A Computational Stochastic Methodology for the Design of Random Meta-materials under Geometric Constraints
2018,10.1137/18m1173472,https://epubs.siam.org/doi/10.1137/18m1173472,Reiichiro Kawai,0000-0002-3845-015X,,Optimizing Adaptive Importance Sampling by Stochastic Approximation
2018,10.1137/16m1078082,https://epubs.siam.org/doi/10.1137/16m1078082,Huo-Yuan Duan,,,A Mixed $H^1$-Conforming Finite Element Method for Solving Maxwell's Equations with Non-$H^1$ Solution
2018,10.1137/16m1106006,https://epubs.siam.org/doi/10.1137/16m1106006,H. V. R. Mittal,0000-0002-8769-5882,,Solving Immersed Interface Problems Using a New Interfacial Points-Based Finite Difference Approach
2018,10.1137/17m1162238,https://epubs.siam.org/doi/10.1137/17m1162238,Johan Helsing,0000-0003-1434-9222,Lund University,On Integral Equation Methods for the First Dirichlet Problem of the Biharmonic and Modified Biharmonic Equations in NonS
2018,10.1137/17m1137322,https://epubs.siam.org/doi/10.1137/17m1137322,Roland Glowinski,,University of Houston,A Simple Explicit Operator-Splitting Method for Effective Hamiltonians
2018,10.1137/16m1102410,https://epubs.siam.org/doi/10.1137/16m1102410,Ron Estrin,0000-0001-7576-7394,,SPMR: A Family of Saddle-Point Minimum Residual Solvers
2018,10.1137/17m1149444,https://epubs.siam.org/doi/10.1137/17m1149444,Noel Chalmers,0000-0002-1293-7525,,Low-Order Preconditioning of High-Order Triangular Finite Elements
2018,10.1137/17m112141x,https://epubs.siam.org/doi/10.1137/17m112141x,Fei Xue,0000-0002-2491-9359,,A Block Preconditioned Harmonic Projection Method for Large-Scale Nonlinear Eigenvalue Problems
2018,10.1137/17m1141795,https://epubs.siam.org/doi/10.1137/17m1141795,Byron E. Moutafis,,,Parallel Schur Complement Techniques Based on Multiprojection Methods
2018,10.1137/18m1173071,https://epubs.siam.org/doi/10.1137/18m1173071,Afnan Al Marzouk,0000-0002-4451-7381,,Collisional $N$-Body Numerical Integrator with Applications to Charged Particle Dynamics
2018,10.1137/16m1071341,https://epubs.siam.org/doi/10.1137/16m1071341,Masayuki Yano,0000-0002-9329-4508,,A Reduced Basis Method for Coercive Equations with an Exact Solution Certificate and Spatio-Parameter Adaptivity: Energy
2018,10.1137/17m1124772,https://epubs.siam.org/doi/10.1137/17m1124772,Jannes Quer,0009-0007-1064-6963,,An Automatic Adaptive Importance Sampling Algorithm for Molecular Dynamics in Reaction Coordinates
2018,10.1137/17m1154527,https://epubs.siam.org/doi/10.1137/17m1154527,Vassilis Kalantzis,0000-0002-4614-6422,University of Minnesota,Beyond Automated Multilevel Substructuring: Domain Decomposition with Rational Filtering
2018,10.1137/17m1137334,https://epubs.siam.org/doi/10.1137/17m1137334,Tom Gustafsson,0000-0003-1611-5032,Aalto University,A Posteriori Estimates for Conforming Kirchhoff Plate Elements
2018,10.1137/15m1021751,https://epubs.siam.org/doi/10.1137/15m1021751,Zhe Feng,,,An Adaptive Independence Sampler MCMC Algorithm for Bayesian Inferences of Functions
2018,10.1137/17m1145227,https://epubs.siam.org/doi/10.1137/17m1145227,Awad H. Al-Mohy,0000-0002-4722-3864,,A Truncated Taylor Series Algorithm for Computing the Action of Trigonometric and Hyperbolic Matrix Functions
